symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,split,regime_label,universe_status,is_delisted
AMWD-202605,mean_reversion_5d,2025-06-03,2025-06-04,2025-06-18,55.35,50.27,-0.0488142634585424,-0.0917795844625112,0.05,-0.1417795844625112,0.1,-0.0141779584462511,False,False,oos,TREND_UP_LOW_VOL,delisted,True
ABTC,momentum_60d,2025-07-02,2025-07-03,2025-08-01,5.6,5.25,6.948369565217391,-0.0624999999999998,0.05,-0.1124999999999998,0.1,-0.0112499999999999,False,False,oos,RECOVERY_BOUNCE,active,False
CDTX-202601,momentum_60d,2025-07-02,2025-07-03,2025-08-01,47.46,62.9,1.913572732805843,0.3253265908133165,0.05,0.2753265908133165,0.1,0.0275326590813316,False,False,oos,RECOVERY_BOUNCE,delisted,True
AAOI,momentum_60d,2025-07-02,2025-07-03,2025-08-01,26.76,21.53,1.471296296296296,-0.195440956651719,0.05,-0.245440956651719,0.1,-0.0245440956651719,False,False,oos,RECOVERY_BOUNCE,active,False
ADCT,momentum_60d,2025-07-02,2025-07-03,2025-08-01,2.83,2.69,1.3728813559322033,-0.0494699646643109,0.05,-0.0994699646643109,0.1,-0.009946996466431,False,False,oos,RECOVERY_BOUNCE,active,False
ACHV,mean_reversion_5d,2025-07-02,2025-07-03,2025-07-18,2.29,2.68,-0.4052631578947369,0.1703056768558952,0.05,0.1203056768558952,0.1,0.0120305676855895,False,False,oos,RECOVERY_BOUNCE,active,False
EHAB-202605,mean_reversion_5d,2025-07-02,2025-07-03,2025-07-18,7.67,6.75,-0.1797872340425532,-0.119947848761408,0.05,-0.169947848761408,0.1,-0.0169947848761408,False,False,oos,RECOVERY_BOUNCE,delisted,True
ACRS,mean_reversion_5d,2025-07-02,2025-07-03,2025-07-18,1.46,1.61,-0.1104294478527606,0.1027397260273974,0.05,0.0527397260273974,0.1,0.0052739726027397,False,False,oos,RECOVERY_BOUNCE,active,False
AVDL-202602,mean_reversion_5d,2025-07-02,2025-07-03,2025-07-18,8.89,10.83,-0.0667372881355931,0.2182227221597299,0.05,0.1682227221597299,0.1,0.0168222722159729,False,False,oos,RECOVERY_BOUNCE,delisted,True
ABVX,momentum_60d,2025-07-31,2025-08-01,2025-08-29,69.69,81.03,9.08005617977528,0.1627206198880757,0.05,0.1127206198880757,0.1,0.0112720619888075,False,False,oos,TREND_UP_LOW_VOL,active,False
DALN-202509,momentum_60d,2025-07-31,2025-08-01,2025-08-29,14.81,14.9,2.308035714285714,0.0060769750168805,0.05,-0.0439230249831194,0.1,-0.0043923024983119,False,False,oos,TREND_UP_LOW_VOL,delisted,True
ABTC,momentum_60d,2025-07-31,2025-08-01,2025-08-29,5.2999997,7.7,2.2727270743801777,0.452830270914921,0.05,0.402830270914921,0.1,0.0402830270914921,False,False,oos,TREND_UP_LOW_VOL,active,False
CDTX-202601,momentum_60d,2025-07-31,2025-08-01,2025-08-29,62.18,65.39,1.9446511627906975,0.0516243165004823,0.05,0.0016243165004823,0.1,0.0001624316500482,False,False,oos,TREND_UP_LOW_VOL,delisted,True
ABAT,mean_reversion_5d,2025-07-31,2025-08-01,2025-08-15,2.1,2.77,-0.3560830860534125,0.319047619047619,0.05,0.269047619047619,0.1,0.0269047619047619,False,False,oos,TREND_UP_LOW_VOL,active,False
CFLT-202603,mean_reversion_5d,2025-07-31,2025-08-01,2025-08-15,17.53,17.79,-0.3336466165413534,0.0148317170564744,0.05,-0.0351682829435255,0.1,-0.0035168282943525,False,False,oos,TREND_UP_LOW_VOL,delisted,True
